T,cv,entropy,internal_energy,helmholtz_free_energy
1260.0,49.20296845117564,105.87200347752788,63725.88003230888,-69672.84433919935
1270.0,49.21356436408047,106.26100376438613,64217.962902312756,-70733.51186820214
1280.0,49.223916844997376,106.64703518495055,64710.1505080254,-71798.0545183772
1290.0,49.23403326443351,107.03014208234555,65202.44045221451,-72866.44282359851
1300.0,49.24392071715937,107.41036782826599,65694.83040996372,-73938.6477562907
1310.0,49.25358603444513,107.78775485068779,66187.31812597693,-75014.64071785404
1320.0,49.263035795670824,108.16234466061542,66679.90141200187,-76094.39352936183
1330.0,49.27227633934667,108.53417787790569,67172.57814436677,-77177.87842252044
1340.0,49.28131377357683,108.90329425620448,67665.34626162444,-78265.06803088354
1350.0,49.290153985999126,109.26973270703236,68158.2037622983,-79355.93538131061
1360.0,49.29880265322977,109.63353132305309,68651.14870272545,-80450.45388566327
1370.0,49.30726524984131,109.99472740055701,69144.17919499155,-81548.59733272935
1380.0,49.31554705689961,110.35335746119065,69637.29340495354,-82650.33988036858
1390.0,49.32365317008475,110.70945727296187,70130.48955034552,-83755.65604787176
1400.0,49.33158850741824,111.06306187054912,70623.76589896377,-84864.52070852648
1410.0,49.33935781661858,111.4142055749413,71117.12076692734,-85976.90908238261
1420.0,49.34696568210517,111.76292201243461,71610.55251701025,-87092.7967292108
1430.0,49.35441653166961,112.10924413301056,72104.05955704213,-88212.15954164808
1440.0,49.361714642832254,112.45320422811929,72597.64033837401,-89334.97373852403
1450.0,49.36886414890092,112.7948339478902,73091.29335440617,-90461.21585836206
1460.0,49.37586904474726,113.13416431779201,73585.01713917506,-91590.86275304989
1470.0,49.38273319231614,113.47122575476253,74078.81026599668,-92723.89158167402
1480.0,49.38946032588149,113.80604808282841,74572.67134616393,-93860.27980451297
1490.0,49.396054057062216,114.13866054823309,75066.59902769502,-95000.00517718427
1500.0,49.40251787961033,114.46909183409215,75560.5919941312,-96143.04574494014
1510.0,49.40885517398311,114.79737007459237,76054.64896338097,-97289.3798371077
1520.0,49.41506921171037,115.1235228687518,76548.76868660921,-98438.98606166884
1530.0,49.42116315956706,115.44757729375688,77042.94994716898,-99591.84329997544
1540.0,49.4271400835612,115.76955991789137,77537.19155957393,-100747.93070159621
1550.0,49.43300295274631,116.08949681307229,78031.49236851,-101907.22767929055
1560.0,49.43875464286702,116.40741356700671,78525.85124788406,-103069.71390410599
1570.0,49.44439793984639,116.72333529498303,79020.26709990857,-104235.36930059538
1580.0,49.449935543122336,117.03728665130917,79514.73885421999,-105404.17404215012
1590.0,49.45537006884085,117.34929184041115,80009.26546703013,-106576.10854644627
1600.0,49.460704052912924,117.65937462760284,80503.84592030861,-107751.15347099962
1610.0,49.465939953941636,117.96755834953902,80998.4792209952,-108929.2897088273
1620.0,49.471080156025806,118.27386592436257,81493.16440024094,-110110.49838421209
1630.0,49.47612697144604,118.57831986155622,81987.90051267653,-111294.76084856679
1640.0,49.481082643238764,118.8809422715093,82482.68663570717,-112482.05867639573
1650.0,49.48594934766346,119.18175487480868,82977.52186883251,-113672.37366135044
1660.0,49.49072919656835,119.48077901126406,83472.40533299088,-114865.68781237709
1670.0,49.495424239659044,119.77803564867574,83967.33616992644,-116061.98334995264
1680.0,49.500036466674665,120.07354539135412,84462.31354157883,-117261.2427024076
1690.0,49.50456780947596,120.36732848839904,84957.33662949399,-118463.44850233285
1700.0,49.509020144049124,120.65940484174688,85452.40463425545,-119668.58358306764
1710.0,49.51339529242946,120.94979401399333,85947.5167749353,-120876.6309752676
1720.0,49.51769502454828,121.2385152359989,86442.67228856396,-122087.57390354939
1730.0,49.52192106000676,121.52558741428453,86937.870429618,-123301.39578321044
1740.0,49.52607506977976,121.81102913822421,87433.11046952552,-124518.08021702174
1750.0,49.53015867785303,122.09485868704095,87928.3916961881,-125737.61099209153
1760.0,49.53417346279643,122.37709403661248,88423.71341351882,-126959.97207679806
1770.0,49.538120959276384,122.65775286609319,88919.07494099566,-128185.14761778909
1780.0,49.54200265950983,122.93685256435765,89414.47561322988,-129413.1219370474
1790.0,49.545820014662524,123.2144102362716,89909.91477954845,-130643.8795290193
1800.0,49.549574436194014,123.49044270879615,90405.39180359042,-131877.4050578051
1810.0,49.55326729715157,123.7649665369299,90900.90606291629,-133113.68335441014
1820.0,49.55689993341528,124.03799800949456,91396.45694863019,-134352.69941405408
1830.0,49.5604736448964,124.30955315476864,91892.04386501423,-135594.4383935374
1840.0,49.563989696691024,124.57964774597411,92387.66622917462,-136838.88560866364
1850.0,49.567449320190825,124.84829730662048,92883.32347069906,-138086.02653171553
1860.0,49.57085371415279,125.11551711571062,93379.01503132515,-139335.8467889841
1870.0,49.57420404572962,125.38132221281285,93874.74036461923,-140588.33215834916
1880.0,49.57750145146249,125.64572740300295,94370.49893566522,-141843.46856690952
1890.0,49.58074703823754,125.90874726168038,94866.29022076348,-143101.2420886625
1900.0,49.58394188420801,126.17039613926235,95362.11370713869,-144361.6389422306
1910.0,49.587087039682835,126.43068816575938,95857.96889265726,-145624.6454886348
1920.0,49.590183527983676,126.68963725523597,96353.85528555296,-146890.2482291126
1930.0,49.59323234627125,126.94725711015998,96849.77240416133,-148158.43380298067
1940.0,49.59623446634234,127.20356122564338,97345.71977666198,-149429.1889855402
1950.0,49.59919083539875,127.45856289357849,97841.69694082903,-150702.50068602388
1960.0,49.60210237678918,127.71227520667192,98337.70344378857,-151978.35594558401
1970.0,49.60496999072519,127.9647110623798,98833.73884178403,-153256.74193532064
1980.0,49.607794554972244,128.21588316674692,99329.8026999481,-154537.645954348
1990.0,49.610576925516916,128.46580403815236,99825.8945920817,-155821.0554278995
